player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
191220000,5,2,-1,-1,-1,-1,0
193304X,-1,-1,5,7,5,9,0
191220000,5,3,-1,-1,-1,-1,0
193304X,-1,-1,3,6,5,6,0
191220000,5,4,-1,-1,-1,-1,0
193304X,-1,-1,5,7,7,7,0
191220000,5,5,-1,-1,-1,-1,0
193304X,-1,-1,6,3,6,5,0
191220000,5,6,-1,-1,-1,-1,0
193304X,-1,-1,1,5,3,5,0
191220000,4,6,-1,-1,-1,-1,0
193304X,-1,-1,3,4,3,6,0
191220000,5,6,-1,-1,-1,-1,0
193304X,-1,-1,5,4,5,6,0
191220000,5,5,-1,-1,-1,-1,0
193304X,-1,-1,5,2,5,4,0
191220000,-1,-1,4,8,6,8,0
193304X,-1,-1,3,2,3,4,0
191220000,5,4,-1,-1,-1,-1,0
193304X,4,9,-1,-1,-1,-1,0
191220000,-1,-1,2,8,4,8,0
193304X,3,9,-1,-1,-1,-1,0
191220000,5,3,-1,-1,-1,-1,0
193304X,2,9,-1,-1,-1,-1,0
191220000,-1,-1,1,7,1,9,0
193304X,2,8,-1,-1,-1,-1,0
191220000,-1,-1,1,7,3,7,0
193304X,3,8,-1,-1,-1,-1,0
191220000,5,2,-1,-1,-1,-1,0
193304X,4,8,-1,-1,-1,-1,0
191220000,-1,-1,4,6,4,8,0
193304X,4,7,-1,-1,-1,-1,0
191220000,6,2,-1,-1,-1,-1,0
193304X,3,7,-1,-1,-1,-1,0
191220000,6,3,-1,-1,-1,-1,0
193304X,3,6,-1,-1,-1,-1,0
191220000,-1,-1,2,4,2,6,0
193304X,-1,-1,7,7,9,7,0
191220000,6,2,-1,-1,-1,-1,0
193304X,3,7,-1,-1,-1,-1,0
191220000,5,2,-1,-1,-1,-1,0
193304X,2,7,-1,-1,-1,-1,0
191220000,4,2,-1,-1,-1,-1,0
193304X,2,6,-1,-1,-1,-1,0
191220000,-1,-1,1,4,1,6,0
193304X,2,7,-1,-1,-1,-1,0
191220000,3,2,-1,-1,-1,-1,0
193304X,1,7,-1,-1,-1,-1,0
191220000,3,3,-1,-1,-1,-1,0
193304X,1,6,-1,-1,-1,-1,0
191220000,3,4,-1,-1,-1,-1,0
193304X,1,5,-1,-1,-1,-1,0
191220000,2,4,-1,-1,-1,-1,0
193304X,1,4,-1,-1,-1,-1,0
191220000,-1,-1,0,3,2,3,0
193304X,3,4,-1,-1,-1,-1,0
191220000,1,4,-1,-1,-1,-1,0
193304X,3,3,-1,-1,-1,-1,0
191220000,-1,-1,2,2,4,2,0
193304X,2,3,-1,-1,-1,-1,0
191220000,1,5,-1,-1,-1,-1,0
193304X,2,2,-1,-1,-1,-1,0
191220000,-1,-1,1,1,3,1,0
193304X,1,2,-1,-1,-1,-1,0
191220000,1,6,-1,-1,-1,-1,0
193304X,1,1,-1,-1,-1,-1,1
